IDApp;Libellé Appellation ;Segment
291;Ajaccio;AOP
126;Aloxe-Corton;AOP
1;Alsace;AOP
3;Alsace grand cru;AOP
76;Anjou;AOP
79;Anjou Villages;AOP
124;Anjou Villages Brissac;AOP
77;Anjou-Coteaux de la Loire;AOP
127;Arbois;AOP
315;Armagnac;AOP
129;Auxey-Duresses;AOP
292;Bandol;AOP
302;Banyuls;AOP
303;Banyuls grand cru;AOP
8;Barsac;AOP
130;Bâtard-Montrachet;AOP
9;Béarn;AOP
1032;Beaujolais;AOP
1097;Beaumes de Venise;AOP
134;Beaune;AOP
293;Bellet;AOP
10;Bergerac;AOP
135;Bienvenues-Bâtard-Montrachet;AOP
136;Blagny;AOP
101;Blanc Fumé de Pouilly;AOP
13;Blaye;AOP
137;Bonnes-Mares;AOP
80;Bonnezeaux;AOP
14;Bordeaux;AOP
585;Bordeaux supérieur;AOP
138;Bourgogne;AOP
140;Bourgogne aligoté;AOP
1027;Bourgogne grand ordinaire;AOP
141;Bourgogne mousseux;AOP
1027;Bourgogne ordinaire;AOP
144;Bourgogne Passe-tout-grains;AOP
81;Bourgueil;AOP
245;Bouzeron;AOP
145;Brouilly;AOP
1019;Brulhois;AOP
674;Bugey;AOP
19;Buzet;AOP
264;Cabardès;AOP
82;Cabernet d'Anjou;AOP
83;Cabernet de Saumur;AOP
20;Cadillac;AOP
21;Cahors;AOP
22;Canon Fronsac;AOP
294;Cassis;AOP
23;Cérons;AOP
146;Chablis;AOP
147;Chablis Grand Cru;AOP
148;Chambertin;AOP
149;Chambertin-Clos de Bèze;AOP
150;Chambolle-Musigny;AOP
5;Champagne ;AOP
151;Chapelle-Chambertin;AOP
152;Charlemagne;AOP
153;Charmes-Chambertin;AOP
154;Chassagne-Montrachet;AOP
155;Château-Chalon;AOP
266;Château-Grillet;AOP
836;Châteaumeillant;AOP
267;Châteauneuf-du-Pape;AOP
268;Châtillon-en-Diois;AOP
156;Chénas;AOP
157;Chevalier-Montrachet;AOP
84;Cheverny;AOP
85;Chinon;AOP
158;Chiroubles;AOP
159;Chorey-lès-Beaune;AOP
252;Clairette de Bellegarde;AOP
269;Clairette de Die;AOP
253;Clairette du Languedoc;AOP
160;Clos de la Roche;AOP
161;Clos de Tart;AOP
162;Clos de Vougeot;AOP
163;Clos des Lambrays;AOP
164;Clos Saint-Denis;AOP
162;Clos Vougeot;AOP
320;Cognac;AOP
254;Collioure;AOP
270;Condrieu;AOP
255;Corbières;AOP
1098;Corbières-Boutenac;AOP
271;Cornas;AOP
300;Corse;AOP
165;Corton;AOP
166;Corton-Charlemagne;AOP
256;Costières de Nîmes;AOP
167;Côte de Beaune;AOP
168;Côte de Beaune-Villages;AOP
169;Côte de Brouilly;AOP
171;Côte de Nuits-Villages;AOP
170;Côte roannaise;AOP
272;Côte Rôtie;AOP
1027;Coteaux Bourguignons;AOP
6;Coteaux champenois;AOP
295;Coteaux d'Aix-en-Provence;AOP
840;Coteaux d'Ancenis;AOP
273;Coteaux de Die;AOP
86;Coteaux de l'Aubance;AOP
87;Coteaux de Saumur;AOP
125;Coteaux du Giennois;AOP
88;Coteaux du Layon;AOP
89;Coteaux du Loir;AOP
172;Coteaux du Lyonnais;AOP
688;Coteaux du Quercy;AOP
469;Coteaux du Vendômois;AOP
582;Coteaux varois en Provence;AOP
837;Côtes d'Auvergne;AOP
12;Côtes de Bergerac;AOP
24;Côtes de Blaye;AOP
685;Côtes de Bordeaux;AOP
25;Côtes de Bordeaux-Saint-Macaire;AOP
18;Côtes de Bourg, Bourg et Bourgeais;AOP
27;Côtes de Duras;AOP
731;Côtes de Millau;AOP
28;Côtes de Montravel;AOP
297;Côtes de Provence;AOP
4;Côtes de Toul;AOP
243;Côtes du Forez;AOP
173;Côtes du Jura;AOP
30;Côtes du Marmandais;AOP
275;Côtes du Rhône;AOP
276;Côtes du Rhône Villages;AOP
258;Côtes du Roussillon;AOP
259;Côtes du Roussillon Villages;AOP
289;Côtes du Vivarais;AOP
90;Cour-Cheverny;AOP
2;Crémant d’Alsace;AOP
31;Crémant de Bordeaux;AOP
175;Crémant de Bourgogne;AOP
279;Crémant de Die;AOP
250;Crémant de Limoux;AOP
91;Crémant de Loire;AOP
176;Crémant du Jura;AOP
178;Criots-Bâtard-Montrachet;AOP
280;Crozes-Ermitage;AOP
280;Crozes-Hermitage;AOP
828;Duché d'Uzès;AOP
320;Eau-de-vie de Cognac;AOP
320;Eau-de-vie des Charentes;AOP
179;Echezeaux;AOP
1016;Entraygues - Le Fel;AOP
32;Entre-deux-Mers;AOP
282;Ermitage;AOP
1017;Estaing;AOP
260;Faugères;AOP
1028;Fiefs Vendéens;AOP
261;Fitou;AOP
180;Fixin;AOP
181;Fleurie;AOP
319;Floc de Gascogne;AOP
33;Fronsac;AOP
304;Frontignan;AOP
29;Fronton;AOP
34;Gaillac;AOP
36;Gaillac premières côtes;AOP
182;Gevrey-Chambertin;AOP
281;Gigondas;AOP
183;Givry;AOP
305;Grand Roussillon;AOP
184;Grands-Echezeaux;AOP
37;Graves;AOP
38;Graves de Vayres;AOP
855;Graves supérieures;AOP
1013;Grignan-les-Adhémar;AOP
185;Griotte-Chambertin;AOP
843;Gros Plant du Pays Nantais;AOP
39;Haut-Médoc;AOP
40;Haut-Montravel;AOP
1018;Haut-Poitou;AOP
282;Hermitage;AOP
247;Irancy;AOP
41;Irouléguy;AOP
92;Jasnières;AOP
186;Juliénas;AOP
42;Jurançon;AOP
189;La Grande Rue;AOP
190;La Romanée;AOP
191;La Tâche;AOP
192;Ladoix;AOP
44;Lalande-de-Pomerol;AOP
257;Languedoc;AOP
193;Latricières-Chambertin;AOP
282;l'Ermitage;AOP
301;Les Baux de Provence;AOP
187;L'Etoile;AOP
251;Limoux;AOP
283;Lirac;AOP
45;Listrac-Médoc;AOP
46;Loupiac;AOP
854;Luberon;AOP
47;Lussac-Saint-Emilion;AOP
583;Mâcon;AOP
244;Macvin du Jura;AOP
48;Madiran;AOP
608;Malepère;AOP
198;Maranges;AOP
51;Marcillac;AOP
52;Margaux;AOP
199;Marsannay;AOP
306;Maury;AOP
201;Mazis-Chambertin;AOP
202;Mazoyères-Chambertin;AOP
53;Médoc;AOP
93;Menetou-Salon;AOP
203;Mercurey;AOP
204;Meursault;AOP
262;Minervois;AOP
265;Minervois-La Livinière;AOP
54;Monbazillac;AOP
55;Montagne-Saint-Emilion;AOP
205;Montagny;AOP
206;Monthélie;AOP
94;Montlouis-sur-Loire;AOP
207;Montrachet;AOP
56;Montravel;AOP
208;Morey-Saint-Denis;AOP
209;Morgon;AOP
690;Moselle;AOP
210;Moulin-à-Vent;AOP
57;Moulis ou Moulis-en-Médoc;AOP
97;Muscadet;AOP
98;Muscadet Coteaux de la Loire;AOP
99;Muscadet Côtes de Grandlieu;AOP
100;Muscadet Sèvre et Maine;AOP
308;Muscat de Beaumes-de-Venise;AOP
304;Muscat de Frontignan;AOP
309;Muscat de Lunel;AOP
310;Muscat de Mireval;AOP
307;Muscat de Rivesaltes;AOP
311;Muscat de Saint-Jean-de-Minervois;AOP
312;Muscat du Cap Corse;AOP
211;Musigny;AOP
212;Nuits-Saint-Georges;AOP
600;Orléans;AOP
598;Orléans-Cléry;AOP
49;Pacherenc du Vic-Bilh;AOP
298;Palette;AOP
299;Patrimonio;AOP
59;Pauillac;AOP
60;Pécharmant;AOP
213;Pernand-Vergelesses;AOP
61;Pessac-Léognan;AOP
214;Petit Chablis;AOP
733;Picpoul de Pinet;AOP
290;Pierrevert;AOP
329;Pineau Charentais;AOP
329;Pineau des Charentes;AOP
62;Pomerol;AOP
215;Pommard;AOP
216;Pouilly-Fuissé;AOP
101;Pouilly-Fumé;AOP
217;Pouilly-Loché;AOP
102;Pouilly-sur-Loire;AOP
218;Pouilly-Vinzelles;AOP
64;Premières Côtes de Bordeaux;AOP
65;Puisseguin-Saint-Emilion;AOP
219;Puligny-Montrachet;AOP
103;Quarts de Chaume;AOP
104;Quincy;AOP
313;Rasteau;AOP
220;Régnié;AOP
105;Reuilly;AOP
221;Richebourg;AOP
314;Rivesaltes;AOP
222;Romanée-Conti;AOP
223;Romanée-Saint-Vivant;AOP
106;Rosé d'Anjou;AOP
107;Rosé de Loire;AOP
7;Rosé des Riceys;AOP
66;Rosette;AOP
234;Roussette de Savoie;AOP
675;Roussette du Bugey;AOP
224;Ruchottes-Chambertin;AOP
225;Rully;AOP
226;Saint-Amour;AOP
227;Saint-Aubin;AOP
478;Saint-Bris;AOP
263;Saint-Chinian;AOP
72;Sainte-Croix-du-Mont;AOP
73;Sainte-Foy-Bordeaux;AOP
67;Saint-Emilion;AOP
68;Saint-Emilion grand cru;AOP
69;Saint-Estèphe;AOP
70;Saint-Georges-Saint-Emilion;AOP
284;Saint-Joseph;AOP
71;Saint-Julien;AOP
741;Saint-Mont;AOP
108;Saint-Nicolas-de-Bourgueil;AOP
285;Saint-Péray;AOP
677;Saint-Pourçain;AOP
228;Saint-Romain;AOP
686;Saint-Sardos;AOP
229;Saint-Véran;AOP
109;Sancerre;AOP
230;Santenay;AOP
110;Saumur;AOP
122;Saumur-Champigny;AOP
74;Saussignac;AOP
75;Sauternes;AOP
112;Savennières;AOP
1033;Savennières Coulée de Serrant;AOP
1034;Savennières Roche aux Moines;AOP
231;Savigny-lès-Beaune;AOP
235;Savoie;AOP
232;Seyssel;AOP
287;Tavel;AOP
1042;Terrasses du Larzac;AOP
113;Touraine;AOP
123;Touraine Noble Joué;AOP
1020;Tursan;AOP
288;Vacqueyras;AOP
564;Valençay;AOP
278;Ventoux;AOP
1;Vin d'Alsace;AOP
293;Vin de Bellet;AOP
300;Vin de Corse;AOP
304;Vin de Frontignan;AOP
235;Vin de Savoie;AOP
1130;Vinsobres;AOP
246;Viré-Clessé;AOP
240;Volnay;AOP
241;Vosne-Romanée;AOP
242;Vougeot;AOP
119;Vouvray;AOP
144;BOUGOGNE PASSE TOUT GRAINS ;AOP
1027;BOURGOGJNE GRAND ORDINAIRE ;AOP
1027;BOURGOGNE GRAND ORDINAIRE OU BOURGOGNE ORDINAIRE ;AOP
141;BOURGOGNE MOUSSEUXA ;AOP
144;BOURGOGNE PASSE TOUT GRANS ;AOP
144;BOURGOGNE PASSE TOUTG RAINS ;AOP
144;BOURGOGNE PASSETOUTGRAINS ;AOP
1027;COTEAUX BOURGUIGNON ;AOP
275;COTES DU RHNE ;AOP
175;CREMAND DE BOURGOGNE ;AOP
175;CREMANT DE  BOURGOGNE ;AOP
176;CREMENT DU JURA ;AOP
234;ROUSSETTEDE SAVOIE ;AOP
285;SAINT PRAY ;AOP
235;VIN DE SAVOIE  OU SAVOIE  ;AOP
235;VIN DE SAVOIE  OUSAVOIE  ;AOP
